file	bucket	rationale	imports
cli/cmd/ao/agent.go	RELOCATE	outer orchestration, runtime supervision, or fleet/adapter control; move toward MTO or vendor-image adapter boundary	encoding/...,fmt,github.com/...,os,strings
cli/cmd/ao/agent_bundle.go	RELOCATE	outer orchestration, runtime supervision, or fleet/adapter control; move toward MTO or vendor-image adapter boundary	fmt,os,path/...,strings
cli/cmd/ao/agent_bundle_test.go	RELOCATE	outer orchestration, runtime supervision, or fleet/adapter control; move toward MTO or vendor-image adapter boundary	encoding/...,os,path/...,strings,testing
cli/cmd/ao/agents.go	RELOCATE	outer orchestration, runtime supervision, or fleet/adapter control; move toward MTO or vendor-image adapter boundary	encoding/...,fmt,github.com/...,os,path/...,sort,strings
cli/cmd/ao/agents_doctor.go	RELOCATE	outer orchestration, runtime supervision, or fleet/adapter control; move toward MTO or vendor-image adapter boundary	encoding/...,fmt,github.com/...,io,os,os/...,path/...,sort
cli/cmd/ao/agents_doctor_test.go	RELOCATE	outer orchestration, runtime supervision, or fleet/adapter control; move toward MTO or vendor-image adapter boundary	bytes,encoding/...,errors,os,path/...,strings,testing
cli/cmd/ao/agents_lint.go	RELOCATE	outer orchestration, runtime supervision, or fleet/adapter control; move toward MTO or vendor-image adapter boundary	fmt,github.com/...,os,os/...
cli/cmd/ao/agents_lint_test.go	RELOCATE	outer orchestration, runtime supervision, or fleet/adapter control; move toward MTO or vendor-image adapter boundary	bytes,encoding/...,errors,os,path/...,strings,testing
cli/cmd/ao/agents_smoke_parity_test.go	RELOCATE	outer orchestration, runtime supervision, or fleet/adapter control; move toward MTO or vendor-image adapter boundary	encoding/...,os,os/...,path/...,sort,testing
cli/cmd/ao/agents_smoke_test.go	RELOCATE	outer orchestration, runtime supervision, or fleet/adapter control; move toward MTO or vendor-image adapter boundary	io/...,os,path/...,regexp,strings,testing
cli/cmd/ao/agents_test.go	RELOCATE	outer orchestration, runtime supervision, or fleet/adapter control; move toward MTO or vendor-image adapter boundary	bytes,encoding/...,os,os/...,path/...,reflect,strings,testing
cli/cmd/ao/app.go	KEEP	self-contained AO image surface: loop, mind, local Themis, local flywheel, corpus, or operator ergonomics	context,crypto/...,io,os,os/...
cli/cmd/ao/autodev.go	RESEARCH	unclear ownership from filename/import shape; inspect before cut, relocate, or archive	encoding/...,fmt,github.com/...,internal/autodev,os,path/...,strings
cli/cmd/ao/autodev_integration_test.go	KEEP	test coverage follows the command surface under review; keep while the source file remains	encoding/...,os,path/...,strings,testing
cli/cmd/ao/autodev_test.go	KEEP	test coverage follows the command surface under review; keep while the source file remains	encoding/...,os,path/...,strings,testing
cli/cmd/ao/badge.go	KEEP	self-contained AO image surface: loop, mind, local Themis, local flywheel, corpus, or operator ergonomics	encoding/...,fmt,github.com/...,internal/storage,internal/types,io,os,path/...,strings
cli/cmd/ao/badge_test.go	KEEP	self-contained AO image surface: loop, mind, local Themis, local flywheel, corpus, or operator ergonomics	bytes,encoding/...,github.com/...,internal/types,strings,testing
cli/cmd/ao/batch_feedback_test.go	KEEP	test coverage follows the command surface under review; keep while the source file remains	encoding/...,internal/types,math,os,path/...,strings,testing,time
cli/cmd/ao/batch_forge.go	RESEARCH	unclear ownership from filename/import shape; inspect before cut, relocate, or archive	bufio,crypto/...,encoding/...,fmt,github.com/...,internal/formatter,internal/parser,internal/storage,io,os,path/...,slices,strings,time
cli/cmd/ao/batch_forge_test.go	KEEP	test coverage follows the command surface under review; keep while the source file remains	encoding/...,fmt,internal/parser,internal/storage,os,path/...,strings,testing,time
cli/cmd/ao/batch_promote.go	RESEARCH	unclear ownership from filename/import shape; inspect before cut, relocate, or archive	encoding/...,fmt,github.com/...,internal/pool,internal/ratchet,internal/types,os,path/...,strings,time
cli/cmd/ao/batch_promote_test.go	KEEP	test coverage follows the command surface under review; keep while the source file remains	internal/pool,internal/types,os,path/...,strings,testing,time
cli/cmd/ao/beads.go	KEEP	self-contained AO image surface: loop, mind, local Themis, local flywheel, corpus, or operator ergonomics	encoding/...,errors,fmt,github.com/...,os,os/...,path/...,regexp,sort,strings,time
cli/cmd/ao/beads_audit_cluster.go	KEEP	self-contained AO image surface: loop, mind, local Themis, local flywheel, corpus, or operator ergonomics	context,encoding/...,fmt,github.com/...,io/...,os,os/...,path,path/...,regexp,sort,strings,sync,time
cli/cmd/ao/beads_audit_cluster_helpers_test.go	KEEP	self-contained AO image surface: loop, mind, local Themis, local flywheel, corpus, or operator ergonomics	reflect,testing
cli/cmd/ao/beads_audit_cluster_test.go	KEEP	self-contained AO image surface: loop, mind, local Themis, local flywheel, corpus, or operator ergonomics	errors,testing,time
cli/cmd/ao/beads_exit_test.go	KEEP	self-contained AO image surface: loop, mind, local Themis, local flywheel, corpus, or operator ergonomics	errors,github.com/...,testing
cli/cmd/ao/beads_helpers_test.go	KEEP	self-contained AO image surface: loop, mind, local Themis, local flywheel, corpus, or operator ergonomics	testing
cli/cmd/ao/beads_resume.go	KEEP	self-contained AO image surface: loop, mind, local Themis, local flywheel, corpus, or operator ergonomics	context,encoding/...,errors,fmt,github.com/...,os,os/...,path/...,time
cli/cmd/ao/beads_resume_test.go	KEEP	self-contained AO image surface: loop, mind, local Themis, local flywheel, corpus, or operator ergonomics	bytes,context,encoding/...,errors,os,path/...,strings,testing
cli/cmd/ao/beads_scenarios.go	KEEP	self-contained AO image surface: loop, mind, local Themis, local flywheel, corpus, or operator ergonomics	bufio,bytes,encoding/...,fmt,github.com/...,internal/scenarios,io,strings
cli/cmd/ao/beads_scenarios_test.go	KEEP	self-contained AO image surface: loop, mind, local Themis, local flywheel, corpus, or operator ergonomics	bytes,encoding/...,fmt,strings,testing
cli/cmd/ao/beads_stale.go	KEEP	self-contained AO image surface: loop, mind, local Themis, local flywheel, corpus, or operator ergonomics	context,encoding/...,errors,fmt,github.com/...,os/...,sort,time
cli/cmd/ao/beads_stale_test.go	KEEP	self-contained AO image surface: loop, mind, local Themis, local flywheel, corpus, or operator ergonomics	bytes,context,encoding/...,strings,testing,time
cli/cmd/ao/beads_test.go	KEEP	self-contained AO image surface: loop, mind, local Themis, local flywheel, corpus, or operator ergonomics	os,path/...,strings,testing
cli/cmd/ao/c2_event_reader.go	RESEARCH	unclear ownership from filename/import shape; inspect before cut, relocate, or archive	bufio,bytes,encoding/...,errors,fmt,os,path/...
cli/cmd/ao/c2_event_reader_test.go	KEEP	test coverage follows the command surface under review; keep while the source file remains	os,path/...,testing
cli/cmd/ao/canon.go	KEEP	self-contained AO image surface: loop, mind, local Themis, local flywheel, corpus, or operator ergonomics	encoding/...,fmt,github.com/...,internal/canon,io,os,path/...,sort,time
cli/cmd/ao/canon_test.go	KEEP	self-contained AO image surface: loop, mind, local Themis, local flywheel, corpus, or operator ergonomics	bytes,github.com/...,internal/canon,os,path/...,strings,testing,time
